,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
1640,16 triglie,16 triglie,triglie,16,triglie,triglie,31
1641,100 gr di gruviera,100 gr di gruviera,gruviera,100 gr,gruviera,groviera,90
1642,4 cosciotti di capretto,4 cosciotti di capretto,cosciotti capretto,4,cosciotti capretto,carne,44
1643,2 zampe di vitello (carcagnolu),2 zampe di vitello,zampe di vitello,2,zampe di vitello,carne di bovino,492
1644,2 lattughe,2 lattughe,lattughe,2,lattughino,lattughino,7
1645,200 g di mammelle di vitello,200 g di mammelle di vitello,mammelle di vitello,200 g,mammelle di vitello,mammelle di vitello,1
1646,200 g di magro di vitello,200 g di magro di vitello,magro di vitello,200 g,magro di vitello,magro di vitello,1
1647,200 g tra schienale ed animelle,200 g tra schienale,schienale,200 g,schienale,schienale,2
1648,mollica di due panini,mollica di due panini,mollica panini,due,mollica di pane,mollica di pane,98
1649,3 litri di brodo,3 litri di brodo,brodo,3 litri,brodo,brodo,215
1650,crostini di pane abbrustolito,crostini di pane abbrustolito,pane,,pane,pane,363
1651,sugo di carne,sugo di carne,sugo di carne,,sugo di pomodoro,sugo di carne,5
1652,600 g di carne di vitello a fette,600 g di carne di vitello,carne di vitello,600 g,carne di vitello,carne di bovino,492
1653,"1,5 kg di patate","1,5 kg di patate",patate,"1,5 kg",patate,patate,1000
1654,1 pizzico di maggiorana,1 pizzico di maggiorana,maggiorana,1 pizzico,maggiorana,maggiorana,288
1655,rape,rape,rape,,rape,rape,38
1656,1 kg di salsiccia,1 kg di salsiccia,salsiccia,1 kg,salsiccia,salsiccia,225
1657,8 fette di pane,8 fette di pane,pane,8 fette,pane,pane,363
1658,300 gr di fagioli,300 gr di fagioli,fagioli,300 gr,fagioli,fagioli,87
1659,250 g di farina 00,250 g di farina 00,farina,250 g,farina,farina,2121
1660,125 g burro,125 g burro,burro,125 g,burro,burro,4606
1661,32 fiori di zucca,32 fiori di zucca,fiori di zucca,32,fiori di zucca,fiori di zucca,68
1662,80 gerigli di noce spellati,80 gerigli di noce spellati,noce spellati,80 gerigli,noce,noci,222
1663,80 g di scorza di cedro candita,80 g di scorza di cedro candita,scorza di cedro candita,80 g,scorza d'arancia,buccia d'arancia,187
1664,80 g di farina 00,80 g di farina 00,farina,80 g,farina,farina,2121
1665,2 cucchiai di grappa,2 cucchiai di grappa,grappa,2 cucchiai,grappa,grappa,56
1666,120 g di zucchero,120 g di zucchero,zucchero,120 g,zucchero,zucchero,4949
1667,30 g di zucchero a velo,30 g di zucchero,zucchero,30 g,zucchero,zucchero,4949
1668,2 dl di aceto di vino rosso,2 dl di aceto di vino rosso,aceto di vino rosso,2 dl,aceto di vino rosso,aceto,528
1669,polenta,polenta,polenta,,polenta,polenta,26
1670,1 kg di stocco di mammola spugnato,1 kg di stocco di mammola spugnato,stocco di mammola,1 kg,stocco,stocco,20
1671,uova,uova,uova,,uova,uova,3872
1672,5 pomodori maturi,5 pomodori maturi,pomodori,5,pomodori,pomodori,634
1673,1 peperone verde,1 peperone verde,peperone verde,1,peperone verde,peperoni,612
1674,1 peperone giallo,1 peperone giallo,peperone giallo,1,peperone giallo,peperoni,612
1675,1 cetriolo,1 cetriolo,cetriolo,1,cetriolo,cetrioli,121
1676,400 gr di fave fresche,400 gr di fave fresche,fave,400 gr,fave,fave,103
1677,100 g di olive nere snocciolate,100 g di olive nere snocciolate,olive nere snocciolate,100 g,olive nere snocciolate,olive nere,244
1678,4 uova sode,4 uova sode,uova sode,4,uova sode,uova sode,50
1679,6 filetti di acciughe sotto sale,6 filetti di acciughe sotto sale,acciughe sotto sale,6 filetti,acciughe sotto sale,acciughe,403
1680,250 gr di tonno sott’olio,250 gr di tonno sott’olio,,250 gr,,,
1681,1/2 bicchiere di olio extra vergine di oliva,1/2 bicchiere di olio extra vergine di oliva,olio extra vergine di oliva,1/2 bicchiere,olio,olio extravergine d'oliva,4337
1682,aceto balsamico,aceto balsamico,aceto balsamico,,aceto balsamico,aceto balsamico,172
1683,"2 coratelle d'abbacchio con fegato, cuore e polmoni","2 coratelle d'abbacchio con fegato, cuore",coratelle,2,coratelle,coratelle,1
1684,400 gr farina di grano duro,400 gr farina di grano duro,farina di grano duro,400 gr,farina di grano duro,farina,2121
1685,600 l di latte,600 l di latte,latte,600 l,latte,latte,2242
1686,1 stecca di vaniglia,1 stecca di vaniglia,vaniglia,1 stecca,vaniglia,baccello di vaniglia,845
1687,cipollotti,cipollotti,cipollotti,,cipollotti,cipollotto fresco,296
1688,2 kg di fave fresche,2 kg di fave fresche,fave,2 kg,fave,fave,103
1689,4 pomodori perini,4 pomodori perini,pomodori perini,4,pomodori perini,pomodori,634
1690,"1,5 l d’acqua","1,5 l d’acqua",,"1,5 l",,,
1691,4 zucchine rotonde,4 zucchine rotonde,zucchine,4,zucchine,zucchine,654
1692,100 gr di emmenthal,100 gr di emmenthal,emmenthal,100 gr,emmenthal,emmentaler,83
1693,cipolline,cipolline,cipolline,,cipolline,cipolle borettane,103
1694,carne di capretto,carne di capretto,carne di capretto,,carne,carne,44
1695,cipolle,cipolle,cipolle,,cipolle,cipolla,1415
1696,4 cespi di lattuga,4 cespi di lattuga,lattuga,4 cespi,lattuga,lattuga,112
1697,1 litro di brodo di carne,1 litro di brodo di carne,brodo di carne,1 litro,brodo di carne,brodo di carne,219
1698,150 g di carne tritata di bovino,150 g di carne tritata di bovino,carne di bovino,150 g,carne,carne di bovino,492
1699,200 g di animelle e filoni,200 g di animelle,animelle,200 g,animelle,animelle,12
1700,100 g di pangrattato,100 g di pangrattato,pangrattato,100 g,pangrattato,pangrattato,834
1701,60 g di pecorino grattugiato,60 g di pecorino grattugiato,pecorino,60 g,pecorino,pecorino,519
1702,3 cucchiai di olio extravergine d’oliva,3 cucchiai di olio extravergine d’oliva,,3 cucchiai,,,
1703,4 fette di pane casereccio,4 fette di pane casereccio,pane casereccio,4 fette,pane casereccio,pane casereccio,96
1704,250 g di mandorle sgusciate e pelate,250 g di mandorle sgusciate,mandorle,250 g,mandorle,mandorle,415
1705,2 noci di burro,2 noci di burro,noci di burro,2,noci,burro,4606
1706,la scorza grattugiata di un limone,la scorza grattugiata di un limone,limone,un,limone,limone,1394
1707,350 gr di passata di pomodoro,350 gr di passata di pomodoro,passata di pomodoro,350 gr,passata di pomodoro,passata di pomodoro,374
1708,350 g di farina di ceci,350 g di farina di ceci,farina di ceci,350 g,farina di ceci,farina di ceci,26
1709,1 litro di acqua,1 litro di acqua,acqua,1 litro,acqua,acqua,1976
1710,8 ventresche di stocco,8 ventresche di stocco,stocco,8 ventresche,stoccafisso,stocco,20
1711,200 gr di stocco,200 gr di stocco,stocco,200 gr,stoccafisso,stocco,20
1712,1 kg di capra,1 kg di capra,capra,1 kg,capretto,capretto,10
1713,1 lt di vino rosso,1 lt di vino rosso,vino rosso,1 lt,vino rosso,vino rosso,219
1714,1 ciuffo di maggiorana,1 ciuffo di maggiorana,maggiorana,1 ciuffo,maggiorana,maggiorana,288
1715,2 cucchiai di pinoli,2 cucchiai di pinoli,pinoli,2 cucchiai,pinoli,pinoli,392
1716,2 cucchiai di parmigiano grattugiato,2 cucchiai di parmigiano grattugiato,parmigiano,2 cucchiai,parmigiano,parmigiano reggiano dop,1291
1717,1 kg farina 00,1 kg farina 00,farina,1 kg,farina,farina,2121
1718,800 gr pelati,800 gr pelati,pelati,800 gr,pelati,pomodori pelati,196
1719,2 cucchiai d'olio extra-vergine l'oliva,2 cucchiai d'olio extra-vergine l'oliva,olio extra vergine d'oliva,2 cucchiai,olio,olio extravergine d'oliva,4337
1720,peperoncino rosso macinato,peperoncino rosso macinato,peperoncino rosso,,peperoncino rosso,peperoncino,468
1721,aglio tritato,aglio tritato,aglio,,aglio,aglio,2572
1722,acciughe,acciughe,acciughe,,acciughe,acciughe,403
1723,400 g di pasta per il pane,400 g di pasta,pasta,400 g,pasta,pasta,78
1724,100 g di prosciutto cotto,100 g di prosciutto cotto,prosciutto cotto,100 g,prosciutto cotto,prosciutto cotto,324
1725,100 g di mozzarella,100 g di mozzarella,mozzarella,100 g,mozzarella,mozzarella,264
1726,200 g di ricotta,200 g di ricotta,ricotta,200 g,ricotta,ricotta,324
1727,10 gr di zucchero,10 gr di zucchero,zucchero,10 gr,zucchero,zucchero,4949
1728,10 gr di strutto,10 gr di strutto,strutto,10 gr,strutto,strutto,134
1729,1 albume di uovo,1 albume di uovo,albume di uovo,1,albume,albumi,436
1730,15 gr di marsala,15 gr di marsala,marsala,15 gr,marsala,marsala,121
1731,5 gr di cognac,5 gr di cognac,cognac,5 gr,cognac,cognac,64
1732,olio di arachide,olio di arachide,olio di arachide,,olio di arachide,olio di arachide,339
1733,scorzette d'arancia candita,scorzette d'arancia candita,scorzette d'arancia candita,,scorzette d'arancia candita,arancia candita,60
1734,500gr di ricotta,500gr di ricotta,ricotta,,ricotta,ricotta,324
1735,250 gr di zucchero a velo,250 gr di zucchero,zucchero,250 gr,zucchero,zucchero,4949
1736,30 gr di pezzetti di cioccolato fondante,30 gr di pezzetti di cioccolato fondante,cioccolato fondente,30 gr,cioccolato fondente,cioccolato fondente,833
1737,50 gr di frutta candita,50 gr di frutta candita,frutta candita,50 gr,frutta candita,frutta candita,33
1738,30 gr di pistacchi verdi tritati,30 gr di pistacchi verdi tritati,pistacchi verdi,30 gr,pistacchi,pistacchi,193
1739,500 g di farina,500 g di farina,farina,500 g,farina,farina,2121
1740,sugo di carne o pesto,sugo di carne,sugo di carne,,sugo di pomodoro,sugo di carne,5
1741,4 fette spesse di tonno,4 fette spesse di tonno,tonno,4 fette,tonno,tonno,101
1742,1 limone (oppure mezzo bicchiere di vino),1 limone,limone,1,limone,limone,1394
1743,500 gr di maccheroni,500 gr di maccheroni,maccheroni,500 gr,maccheroni,maccheroni,25
1744,1 kg di spezzatino di vitello,1 kg di spezzatino di vitello,spezzatino di vitello,1 kg,spezzatino di vitello,carne di bovino,492
1745,6 tracchiulelle (costine di maiale),6 tracchiulelle,tracchiulelle,6,tracchiulelle,tracchiulelle,7
1746,2 litri di passata di pomodoro,2 litri di passata di pomodoro,passata di pomodoro,2 litri,passata di pomodoro,passata di pomodoro,374
1747,1 cucchiaio di concentrato di pomodoro,1 cucchiaio di concentrato di pomodoro,concentrato di pomodoro,1 cucchiaio,concentrato di pomodoro,concentrato di pomodoro,192
1748,1 kg di cipolline,1 kg di cipolline,cipolline,1 kg,cipolline,cipolle borettane,103
1749,farina di maiorca,farina di maiorca,farina di maiorca,,farina,farina,2121
1750,800 g di ricotta di pecora,800 g di ricotta di pecora,ricotta di pecora,800 g,ricotta di pecora,ricotta di pecora,63
1751,3 cucchiai colmi di zucchero,3 cucchiai colmi di zucchero,zucchero,3 cucchiai,zucchero,zucchero,4949
1752,200 g di miele,200 g di miele,miele,200 g,miele,miele,335
1753,800 gr di carne di maiale,800 gr di carne di maiale,carne di maiale,800 gr,carne di maiale,carne di suino,202
1754,pecorino tenero,pecorino tenero,pecorino,,pecorino,pecorino,519
1755,600gr di mandorle,600gr di mandorle,mandorle,600gr,mandorle,mandorle,415
1756,4 albumi uovo,4 albumi uovo,albumi uovo,4,uovo,uova,3872
1757,40 gr di pinoli,40 gr di pinoli,pinoli,40 gr,pinoli,pinoli,392
1758,200 gr di cedro candito,200 gr di cedro candito,cedro candito,200 gr,cedro candito,cedro candito,34
1759,1 mandorla intera,1 mandorla intera,mandorla,1,mandorle,mandorle,415
1760,2 chicchi di caffè,2 chicchi di caffè,caffè,2 chicchi,caffè,caffè,190
1761,confetti colorati,confetti colorati,confetti colorati,,confettini colorati,confettini colorati,14
1762,150 gr di gorgonzola,150 gr di gorgonzola,gorgonzola,150 gr,gorgonzola,gorgonzola,83
1763,200 gr di spinaci,200 gr di spinaci,spinaci,200 gr,spinaci,spinaci,245
1764,1 muscolo ( cannolicchio),1 muscolo,muscolo,1,muscolo di manzo macinato,macinato di bovino,51
1765,1 cucchiaio di capperi,1 cucchiaio di capperi,capperi,1 cucchiaio,capperi,capperi,366
1766,1 acciuga salata,1 acciuga salata,acciuga salata,1,acciuga,acciughe,403
1767,300 gr di funghi porcini freschi,300 gr di funghi porcini freschi,funghi porcini,300 gr,funghi porcini,funghi porcini,107
1768,300 gr di polpa di pomodoro,300 gr di polpa di pomodoro,polpa di pomodoro,300 gr,polpa di pomodoro,polpa di pomodoro,49
1769,95 g di farina di 00,95 g di farina di 00,farina,95 g,farina,farina,2121
1770,130 g di zucchero,130 g di zucchero,zucchero,130 g,zucchero,zucchero,4949
1771,50 g di latte,50 g di latte,latte,50 g,latte,latte,2242
1772,1/2 bustina di vanilina,1/2 bustina di vanilina,vanilina,1/2 bustina,vanilina,vanillina,53
1773,300 g di zucchine,300 g di zucchine,zucchine,300 g,zucchine,zucchine,654
1774,pancetta,pancetta,pancetta,,pancetta,pancetta,245
1775,pomodori secchi,pomodori secchi,pomodori secchi,,pomodori secchi,pomodori secchi,141
1776,saleorigano,saleorigano,saleorigano,,saleorigano,saleorigano,1
1777,2 cucchiai di parmigiano,2 cucchiai di parmigiano,parmigiano,2 cucchiai,parmigiano,parmigiano reggiano dop,1291
1778,1 kg di lumache,1 kg di lumache,lumache,1 kg,lumache,lumache,10
1779,olio extravergiine l'oliva,olio extravergiine l'oliva,olio,oliva,olio,olio,2191
1780,4 taralli,4 taralli,taralli,4,tarallini,tarallini,9
1781,100 gr di alici sott'olio,100 gr di alici sott'olio,alici sott'olio,100 gr,alici,alici,44
1782,olive nere e verdi,olive nere,olive nere,,olive nere,olive nere,244
1783,aceto di vino bianco,aceto di vino bianco,aceto di vino bianco,,aceto di vino bianco,aceto,528
1784,500 gr. di carote novelle,500 gr. di carote novelle,carote novelle,500 gr,carote novelle,carote,1077
1785,1 bicchiere di marsala secco,1 bicchiere di marsala secco,marsala secco,1 bicchiere,marsala secco,marsala,121
1786,800 gr di tracchiulelle,800 gr di tracchiulelle,tracchiulelle,800 gr,tracchiulelle,tracchiulelle,7
1787,1 lt di passata di pomodoro,1 lt di passata di pomodoro,passata di pomodoro,1 lt,passata di pomodoro,passata di pomodoro,374
1788,"1,5 kg di cozze","1,5 kg di cozze",cozze,"1,5 kg",cozze,cozze,115
1789,1 kg di radicchio o borragine o cicoria,1 kg di radicchio o borragine,radicchio,1 kg,radicchio,radicchio,103
1790,2/3 patate,2/3 patate,patate,2/3,patate,patate,1000
1791,1 dl di olio extravergine d’oliva,1 dl di olio extravergine d’oliva,,1 dl,,,
1792,1 dl di aceto di vino rosso,1 dl di aceto di vino rosso,aceto di vino rosso,1 dl,aceto di vino rosso,aceto,528
1793,4 foglie di salsa,4 foglie di salsa,salsa,4 foglie,salsa di soia,salsa,18
1794,40 g di grana o parmigiano,40 g di grana,grana,40 g,grana,grana padano dop,591
1795,1/2 bicchiere d'acqua,1/2 bicchiere d'acqua,d'acqua,1/2 bicchiere,d'acqua,acqua,1976
1796,150 g di mandorle tritate,150 g di mandorle tritate,mandorle,150 g,mandorle,mandorle,415
1797,150 g di uvetta,150 g di uvetta,uvetta,150 g,uvetta,uvetta,220
1798,80 g di pinoli,80 g di pinoli,pinoli,80 g,pinoli,pinoli,392
1799,buccia di un limone grattugiata,buccia di un limone grattugiata,limone,un,limone,limone,1394
1800,un bicchierino di cognac o whisky o marsala,un bicchierino di cognac o whisky,cognac,un bicchierino,cognac,cognac,64
1801,125 g di burro,125 g di burro,burro,125 g,burro,burro,4606
1802,50 g di lievito di birra,50 g di lievito di birra,lievito di birra,50 g,lievito di birra,lievito di birra,364
1803,1 kg farina tipo 0,1 kg farina tipo 0,farina tipo 0,1 kg,farina tipo 0,farina 0,181
1804,150 gr di strutto,150 gr di strutto,strutto,150 gr,strutto,strutto,134
1805,un pizzico di sale,un pizzico di sale,sale,un pizzico,sale,sale,9693
1806,acqua o latte,acqua,acqua,,acqua,acqua,1976
1807,1 kg di zucca gialla,1 kg di zucca gialla,zucca gialla,1 kg,zucca gialla,zucca gialla,20
1808,2 kg di cipolle,2 kg di cipolle,cipolle,2 kg,cipolle,cipolla,1415
1809,300 gr di ricotta o quagliata,300 gr di ricotta,ricotta,300 gr,ricotta,ricotta,324
1810,250 gr di piselli gia sgusciati,250 gr di piselli gia sgusciati,piselli,250 gr,piselli,piselli,302
1811,1 cipolla tritata,1 cipolla tritata,cipolla,1,cipolla,cipolla,1415
1812,100 gr di prosciutto a dadini,100 gr di prosciutto,prosciutto,100 gr,prosciutto,prosciutto,22
1813,2 cucchiai di olio extra vergine di oliva,2 cucchiai di olio extra vergine di oliva,olio extra vergine di oliva,2 cucchiai,olio,olio extravergine d'oliva,4337
1814,100 gr di noci,100 gr di noci,noci,100 gr,noci,noci,222
1815,150 g di farina di castagne,150 g di farina di castagne,farina di castagne,150 g,farina di castagne,farina di castagne,38
1816,200 g di fagiolini teneri,200 g di fagiolini teneri,fagiolini,200 g,fagiolini,fagiolini,153
1817,1 piccola cipolla rossa,1 piccola cipolla rossa,cipolla,1,cipolla,cipolla,1415
1818,20 g di pinoli,20 g di pinoli,pinoli,20 g,pinoli,pinoli,392
1819,20 g di gherigli di noci,20 g di gherigli di noci,noci,20 g,noci,noci,222
1820,8 castagne lesse,8 castagne lesse,castagne,8,castagne,castagne,56
1821,4 fette di filetto di vitello,4 fette di filetto di vitello,filetto di vitello,4 fette,filetto di vitello,carne di bovino,492
1822,1 dado per brodo carne,1 dado,dado,1,dado,dado,18
1823,1 bicchierino di marsala,1 bicchierino di marsala,marsala,1 bicchierino,marsala,marsala,121
1824,300 gr di miele,300 gr di miele,miele,300 gr,miele,miele,335
1825,350 gr di zucchero,350 gr di zucchero,zucchero,350 gr,zucchero,zucchero,4949
1826,2 bianchi d'uovo,2 bianchi d'uovo,bianchi d'uovo,2,bianchi d'uovo,albumi,436
1827,150 gr nocciole,150 gr nocciole,nocciole,150 gr,nocciole,nocciole,164
1828,150 gr di mandorle,150 gr di mandorle,mandorle,150 gr,mandorle,mandorle,415
1829,50 gr pistacchi,50 gr pistacchi,pistacchi,50 gr,pistacchi,pistacchi,193
1830,500 gr di asparagi,500 gr di asparagi,asparagi,500 gr,asparagi,asparagi,192
1831,400 gr di polpa di granchio,400 gr di polpa di granchio,polpa di granchio,400 gr,polpa di pomodoro,polpa di granchio,10
1832,1 ciuffetto di cerfoglio,1 ciuffetto di cerfoglio,cerfoglio,1,cerfoglio,cerfoglio,27
1833,1 cipollotto,1 cipollotto,cipollotto,1,cipollotto,cipollotto fresco,296
1834,1 cucchiaino di maggiorana,1 cucchiaino di maggiorana,maggiorana,1 cucchiaino,maggiorana,maggiorana,288
1835,1 cuore di lattuga,1 cuore di lattuga,lattuga,1,lattuga,lattuga,112
1836,60 gr di rucola,60 gr di rucola,rucola,60 gr,rucola,rucola,133
1837,150 g di strutto,150 g di strutto,strutto,150 g,strutto,strutto,134
1838,400 gr di farina nera di grano saraceno,400 gr di farina nera di grano saraceno,farina nera di grano saraceno,400 gr,farina,farina,2121
1839,"1,2 l di acqua","1,2 l di acqua",acqua,"1,2 l",acqua,acqua,1976
1840,700 gr di burro,700 gr di burro,burro,700 gr,burro,burro,4606
1841,400 gr di bitto,400 gr di bitto,bitto,400 gr,bitto,bitto,5
1842,130 g di burro,130 g di burro,burro,130 g,burro,burro,4606
1843,25 g di lievito di birra,25 g di lievito di birra,lievito di birra,25 g,lievito di birra,lievito di birra,364
1844,marmellata di albicocche,marmellata di albicocche,marmellata di albicocche,,marmellata di albicocche,marmellata di albicocche,14
1845,500g di farina grano duro,500g di farina grano duro,farina di grano duro,500 g,farina di grano duro,farina,2121
1846,50g di anice,50g di anice,anice,50 g,anice,anice,9
1847,1 bicchiere di rum o brandy,1 bicchiere di rum,rum,1 bicchiere,rum,rum,218
1848,4 salsicce,4 salsicce,salsicce,4,salsicce,salsiccia,225
1849,350 gr di crauti,350 gr di crauti,crauti,350 gr,crauti,crauti,10
1850,350 gr di fagioli,350 gr di fagioli,fagioli,350 gr,fagioli,fagioli,87
1851,350 gr di patate,350 gr di patate,patate,350 gr,patate,patate,1000
1852,cumino,cumino,cumino,,cumino,cumino,79
1853,4 beccacce,4 beccacce,beccacce,4,beccacce,beccacce,1
1854,4 fette di pancetta,4 fette di pancetta,pancetta,4 fette,pancetta,pancetta,245
1855,50 gr di capperi,50 gr di capperi,capperi,50 gr,capperi,capperi,366
1856,1 zucca bianca,1 zucca bianca,zucca bianca,1,zucca,zucca,226
1857,2 litri di latticello,2 litri di latticello,latticello,2 litri,latticello,latticello,12
1858,800 gr di pecora,800 gr di pecora,pecora,800 gr,pecorino,pecorino,519
1859,300 g di pomodori,300 g di pomodori,pomodori,300 g,pomodori,pomodori,634
1860,8 pomodori secchi,8 pomodori secchi,pomodori secchi,8,pomodori secchi,pomodori secchi,141
1861,200 gr di mollica di pane fresca,200 gr di mollica di pane fresca,mollica di pane fresca,200 gr,mollica di pane,mollica di pane,98
1862,150 g di mandorle dolci,150 g di mandorle dolci,mandorle dolci,150 g,mandorle,mandorle,415
1863,200 g di pistacchi,200 g di pistacchi,pistacchi,200 g,pistacchi,pistacchi,193
1864,120 g di burro,120 g di burro,burro,120 g,burro,burro,4606
1865,2 kg di capretto,2 kg di capretto,capretto,2 kg,capretto,capretto,10
1866,130 g di strutto,130 g di strutto,strutto,130 g,strutto,strutto,134
1867,1 kg di tonno tagliato a fette,1 kg di tonno tagliato,tonno,1 kg,tonno,tonno,101
1868,1/2 bicchiere d'aceto di vino bianco,1/2 bicchiere d'aceto di vino bianco,aceto di vino bianco,1/2 bicchiere,aceto di vino bianco,aceto,528
1869,1 branzino da 1 kg,1 branzino da 1 kg,branzino,1,branzino,branzino,39
1870,200 gr di riso integrale,200 gr di riso integrale,riso integrale,200 gr,riso,riso,289
1871,150 gr di farro,150 gr di farro,farro,150 gr,farro,farro,31
1872,150 gr di farina gialla,150 gr di farina gialla,farina gialla,150 gr,farina gialla,farina gialla,68
1873,200 gr di cacao amaro in polvere,200 gr di cacao amaro,cacao amaro,200 gr,cacao amaro,cacao amaro,524
1874,300 gr di pangrattato,300 gr di pangrattato,pangrattato,300 gr,pangrattato,pangrattato,834
1875,150 gr di fichi secchi,150 gr di fichi secchi,fichi secchi,150 gr,fichi secchi,fichi secchi,41
1876,300 gr di uva passa,300 gr di uva passa,uva passa,300 gr,uva passa,uva passa,87
1877,1/2 kg di pere,1/2 kg di pere,pere,1/2 kg,pere,pere,111
1878,1/2 kg di mele,1/2 kg di mele,mele,1/2 kg,mele,mele,204
1879,"200 gr di noci, pinoli e mandorle","200 gr di noci, pinoli",noci,200 gr,noci,noci,222
1880,150 gr di liquore dolce,150 gr di liquore dolce,liquore dolce,150 gr,liquore,liquore,38
1881,6 tazzine di caffe,6 tazzine di caffe,caffè,6 tazzine,caffè,caffè,190
1882,scorza di un arancio,scorza di un arancio,arancio,un,arancia,arance,358
1883,scorza di un limone,scorza di un limone,limone,un,limone,limone,1394
1884,1 kg di farina,1 kg di farina,farina,1 kg,farina,farina,2121
1885,zucca,zucca,zucca,,zucca,zucca,226
1886,prosciutto crudo,prosciutto crudo,prosciutto crudo,,prosciutto crudo,prosciutto crudo,182
1887,300 gr di strigoli,300 gr di strigoli,,300 gr,,,
1888,600 gr di salsa di pomodoro,600 gr di salsa di pomodoro,salsa di pomodoro,600 gr,salsa di pomodoro,salsa di pomodoro,90
1889,1 faraona,1 faraona,faraona,1,faraona,faraona,16
1890,1 bicchiere di vino,1 bicchiere di vino,vino,1 bicchiere,vino,vino,43
1891,200 g di pane raffermo,200 g di pane raffermo,pane raffermo,200 g,pane raffermo,pane raffermo,106
1892,50 g fi parmigiano grattugiato,50 g fi parmigiano grattugiato,parmigiano,50 g fi,parmigiano,parmigiano reggiano dop,1291
1893,1 sedano rapa,1 sedano rapa,sedano rapa,1,sedano rapa,sedano rapa,25
1894,3 cespi di radicchio,3 cespi di radicchio,radicchio,3 cespi,radicchio,radicchio,103
1895,100 gr di fagioli,100 gr di fagioli,fagioli,100 gr,fagioli,fagioli,87
1896,100 gr di farina di mais,100 gr di farina di mais,farina di mais,100 gr,farina di mais,farina di mais,144
1897,80 gr di guanciale,80 gr di guanciale,guanciale,80 gr,guanciale,guanciale,54
1898,400 g di farina 00,400 g di farina 00,farina,400 g,farina,farina,2121
1899,1 cucchiaio di semi di papavero,1 cucchiaio di semi di papavero,semi di papavero,1 cucchiaio,semi di papavero,semi di papavero,88
1900,"800 g di stoccafisso, già ammollato","800 g di stoccafisso,",stoccafisso,800 g,stoccafisso,stoccafisso,18
1901,3 cucchiai di uvetta,3 cucchiai di uvetta,uvetta,3 cucchiai,uvetta,uvetta,220
1902,3 cucchiai di pangrattato,3 cucchiai di pangrattato,pangrattato,3 cucchiai,pangrattato,pangrattato,834
1903,700 gr di fegato di maiale a fette,700 gr di fegato di maiale,fegato di maiale,700 gr,fegato di maiale,fegato di maiale,10
1904,2 cucchiai di oliio extravergine d'oliva,2 cucchiai di oliio extravergine d'oliva,olio extravergine d'oliva,2 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
1905,300 gr di carne di maiale macinata,300 gr di carne di maiale macinata,maiale macinato,300 gr,maiale,macinato di suino,21
1906,200 gr di carne di manzo macinata,200 gr di carne di manzo macinata,carne di manzo macinata,200 gr,carne,macinato di bovino,51
1907,60 gr di montasio stagionato grattugiato,60 gr di montasio stagionato grattugiato,montasio stagionato,60 gr,montasio,montasio,25
1908,300 ml di brodo di carne,300 ml di brodo di carne,brodo di carne,300 ml,brodo di carne,brodo di carne,219
1909,1 pizzico do paprica,1 pizzico do paprica,paprica,1 pizzico do,paprica,paprika,272
1910,1 cavolo,1 cavolo,cavolo,1,cavolo nero,cavolo nero,44
1911,500 gr di farina (per la pasta di pane),500 gr di farina,farina,500 gr,farina,farina,2121
1912,500 gr di riso,500 gr di riso,riso,500 gr,riso,riso,289
1913,50 gr di parmigiano grattugiato,50 gr di parmigiano grattugiato,parmigiano,50 gr,parmigiano,parmigiano reggiano dop,1291
1914,200 gr di carne di manzo già cotta,200 gr di carne di manzo,carne di manzo,200 gr,carne di manzo,carne di bovino,492
1915,1 mozzarella,1 mozzarella,mozzarella,1,mozzarella,mozzarella,264
1916,200 gr di fegatini di pollo,200 gr di fegatini di pollo,fegatini di pollo,200 gr,fegatini di pollo,fegatini di pollo,39
1917,1 l di brodo,1 l di brodo,brodo,1 l,brodo,brodo,215
1918,"1,2 kg di zucchero","1,2 kg di zucchero",zucchero,"1,2 kg",zucchero,zucchero,4949
1919,1 kg di mele cotogne,1 kg di mele cotogne,mele cotogne,1 kg,mele cotogne,mele cotogne,6
1920,1 kg di vongole,1 kg di vongole,vongole,1 kg,vongole,vongole,83
1921,8 polpi piccoli,8 polpi piccoli,polpi,8,polpa di pomodoro,polpo,47
1922,4 foglie di basilico,4 foglie di basilico,basilico,4 foglie,basilico,basilico,944
1923,200 gr di burro,200 gr di burro,burro,200 gr,burro,burro,4606
1924,100 gr di fecola di patate,100 gr di fecola di patate,fecola di patate,100 gr,fecola di patate,fecola di patate,233
1925,600 g di anguille già pulite,600 g di anguille,anguille,600 g,anguille,anguille,9
1926,12 foglie di alloro,12 foglie di alloro,alloro,12 foglie,alloro,alloro,451
1927,1 coscia d'agnello,1 coscia d'agnello,coscia d'agnello,1,coscia di pollo,carne di agnello,57
1928,"1,5 kg di coniglio","1,5 kg di coniglio",coniglio,"1,5 kg",coniglio,carne di coniglio,65
1929,1/2 costa di sedano,1/2 costa di sedano,sedano,1/2 costa,sedano,sedano,796
1930,20 olive nere,20 olive nere,olive nere,20,olive nere,olive nere,244
1931,2 bicchieri di vino rosso,2 bicchieri di vino rosso,vino rosso,2 bicchieri,vino rosso,vino rosso,219
