,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
17987,1 kg di spezzatino d’agnello,1 kg di spezzatino d'agnello,spezzatino d',1 kg,,,,,,,,,
17988,1 kg di cicoria possibilmente selvatica,1 kg di cicoria possibilmente selvatica,cicoria selvatica,1 kg,cicoria selvatica,cicoria,cicoria,37,,,,,
17989,8 fettine da 70 g di polpa di cavallo,8 fettine da 70 g di polpa di cavallo,polpa di cavallo,8 fettine,cavallo,cavallo,carne di cavallo,5,,,,,
17990,1-2 bicchieri di brodo,1-2 bicchieri di brodo,brodo,1 - 2 bicchieri,brodo,brodo,brodo,215,,,,,
17991,200 g di pasta brisée pronta,200 g di pasta brisée pronta,pasta brisée,200 g,pasta brisée,pasta brisée,pasta brisè,60,,,,,
17992,200 g di mozzarelline a ciliegia,200 g di mozzarelline,mozzarelline,200 g,mozzarelline,mozzarelline,mozzarella,264,,,,,
17993,2 mazzetti di cicorino,2 mazzetti di cicorino,cicorino,2 mazzetti,cicorino,cicorino,cicoria,37,,,,,
17994,300 g di pomodorini di Pachino,300 g di pomodorini di pachino,pomodorini di pachino,300 g,pomodorini di pachino,pomodorini,pomodori di pachino,35,,,,,
17995,200 g di tonno al naturale,200 g di tonno al naturale,tonno al naturale,200 g,tonno al naturale,tonno al naturale,tonno,101,,,,,
17996,1/2 cespo d’insalata riccia,1/2 cespo d'insalata riccia,d' insalata riccia,1/2 cespo,insalata riccia,insalata riccia,insalata riccia,17,,,,,
17997,500 g di trippa mista,500 g di trippa mista,trippa mista,500 g,trippa,trippa,trippa,21,,,,,
17998,400 g di polpa di pomodoro a cubetti,400 g di polpa di pomodoro,polpa di pomodoro,400 g,pomodoro,pomodoro,pomodori,634,,,,,
17999,50 cl di vino rosso liquoroso,50 cl di vino rosso liquoroso,vino rosso,50 cl,vino rosso,vino rosso,vino rosso,219,,,,,
18000,300 g di ceci,300 g di ceci,ceci,300 g,ceci,ceci,ceci secchi,72,,,,,
18001,300 g di fagioli secchi cannellini,300 g di fagioli secchi cannellini,fagioli secchi cannellini,300 g,fagioli secchi cannellini,fagioli,fagioli cannellini,61,,,,,
18002,100 g di grano,100 g di grano,grano,100 g,grano,grana,farina,2121,,,,,
18003,250 g di prugne secche snocciolate,250 g di prugne secche snocciolate,prugne secche snocciolate,250 g,prugne secche snocciolate,prugne,prugne secche,32,,,,,
18004,125 g di albicocche secche,125 g di albicocche secche,albicocche secche,125 g,albicocche secche,albicocche secche,albicocche secche,26,,,,,
18005,125 g di fichi secchi,125 g di fichi secchi,fichi secchi,125 g,fichi secchi,fichi secchi,fichi secchi,41,,,,,
18006,125 g di uvette,125 g di uvette,uvette,125 g,uvette,uvette,uvetta,220,,,,,
18007,30 g di pinoli tostati,30 g di pinoli tostati,pinoli tostati,30 g,pinoli tostati,pinoli tostati,pinoli,392,,,,,
18008,3 vasetti di yogurt bianco intero,3 vasetti di yogurt bianco intero,vasetti yogurt bianco intero,3,yogurt bianco,yogurt bianco,yogurt bianco,121,,,,,
18009,1 cucchiaio di acqua di rose,1 cucchiaio di acqua di rose,acqua di rose,1 cucchiaio,acqua di rose,acqua di rose,acqua di rose,6,,,,,
18010,1 cucchiaino di semi di coriandolo,1 cucchiaino di semi di coriandolo,semi di coriandolo,1 cucchiaino,semi di coriandolo,semi di coriandolo,semi,107,,,,,
18011,1 striscia di buccia d’arancia,1 striscia di buccia d'arancia,buccia d' arancia,1 striscia,buccia d'arancia,buccia d'arancia,buccia d'arancia,187,,,,,
18012,80 g di lardo a fettine,80 g di lardo,lardo,80 g,lardo,lardo,lardo,114,,,,,
18013,un ciuffo di maggiorana,un ciuffo di maggiorana,maggiorana,un ciuffo,maggiorana,maggiorana,maggiorana,288,,,,,
18014,4-5 rametti di timo,4-5 rametti di timo,timo,4 - 5 rametti,timo,timo,timo,874,,,,,
18015,2 fichi d’India,2 fichi d'india,fichi d',2,fichi d',fichi,fichi,82,,,,,
18016,150 g di frutta candita mista,150 g di frutta candita mista,frutta candita mista,150 g,frutta candita,frutta candita,frutta candita,33,,,,,
18017,5 datteri denocciolati,5 datteri denocciolati,datteri denocciolati,5,datteri denocciolati,datteri,datteri,33,,,,,
18018,1 bicchierino di rum.,1 bicchierino di rum.,rum,1 bicchierino,rum,rum,rum,218,,,,,
18019,240 g di rigatoni Cav.,240 g di rigatoni cav.,rigatoni cav,240 g,rigatoni,rigatoni,rigatoni,59,,,,,
18020,Cocco,cocco,cocco,,cocco,cocco,cocco,45,,,,,
18021,pecorino fresco,pecorino fresco,pecorino,,pecorino,pecorino,pecorino,519,,,,,
18022,1 kg di grosse alici,1 kg di grosse alici,grosse alici,1 kg,alici,alici,alici,44,,,,,
18023,2 cucchiaini rasi di origano,2 cucchiaini rasi di origano,origano,2 cucchiaini,origano,origano,origano,397,,,,,
18024,1 cucchiaio di buccia grattugiata di limone,1 cucchiaio di buccia grattugiata di limone,limone,1 cucchiaio,limone,limone,limone,1394,,,,,
18025,25 cl di succo di clementine,25 cl di succo di clementine,succo di clementine,25 cl,succo di clementine,succo d'ananas,succo d'ananas,41,,,,,
18026,scorza grattugiata di 2 clementine,scorza grattugiata di 2 clementine,clementine,2,clementine,clementine,clementine,7,,,,,
18027,1 kg di rana pescatrice,1 kg di rana pescatrice,rana,1 kg,rana,rana pescatrice,rana pescatrice,17,,,,,
18028,5-6 uova,5-6 uova,uova,5 - 6,uova,uova,uova,3872,,,,,
18029,200 g di manzo,200 g di manzo,manzo,200 g,manzo,manzo,carne di bovino,492,,,,,
18030,200 g di maiale,200 g di maiale,maiale,200 g,maiale,maiale,carne di suino,202,,,,,
18031,200 g di vitello,200 g di vitello,vitello,200 g,vitello,vitello,carne di bovino,492,,,,,
18032,1 salsiccia,1 salsiccia,salsiccia,1,salsiccia,salsiccia,salsiccia,225,,,,,
18033,400 g di ceci in scatola,400 g di ceci,ceci,400 g,ceci,ceci,ceci secchi,72,,,,,
18034,100 g di spinaci freschi,100 g di spinaci freschi,spinaci,100 g,spinaci,spinaci,spinaci,245,,,,,
18035,30 g di Grana Padano a scaglie,30 g di grana padano,grana padano,30 g,grana padano,grana padano,grana padano dop,591,,,,,
18036,6 cuori crudi di carciofo,6 cuori crudi di carciofo,carciofo,6,carciofo,carciofo,carciofi,222,,,,,
18037,200 g di parmigiano da tavola,200 g di parmigiano da tavola,parmigiano da,200 g,parmigiano,parmigiano,parmigiano reggiano dop,1291,,,,,
18038,olio tartufato,olio tartufato,olio tartufato,,olio tartufato,olio,olio,2191,,,,,
18039,fette di pane morbido leggermente dorate,fette di pane morbido leggermente dorate,pane,fette,pane,pane,pane,363,,,,,
18040,300 g di riso Vialone o Vialone nano,300 g di riso vialone o vialone nano,riso vialone,300 g,riso vialone,riso,riso vialone nano,34,,,,,
18041,100 g di salamella,100 g di salamella,salamella,100 g,salamella,salamella,salame,59,,,,,
18042,350 g di pane in cassetta,350 g di pane,pane,350 g,pane,pane,pane,363,,,,,
18043,ciuffo di prezzemolo tritato,ciuffo di prezzemolo tritato,prezzemolo,ciuffo,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
18044,6 foglioline di salvia,6 foglioline di salvia,salvia,6 foglioline,salvia,salvia,salvia,484,,,,,
18045,1 anguilla da circa 1 kg,1 anguilla da circa 1 kg,anguilla,1,anguilla,anguille,anguille,9,,,,,
18046,pane raffermo,pane raffermo,pane raffermo,,pane raffermo,pane raffermo,pane raffermo,106,,,,,
18047,150 g di uva Malaga,150 g di uva malaga,uva malaga,150 g,uva malaga,uva,uva,29,,,,,
18048,150 g di pane grattugiato sottilissimo,150 g di pane grattugiato sottilissimo,pane sottilissimo,150 g,pane,pane,pane,363,,,,,
18049,75 g di formaggio grattugiato,75 g di formaggio grattugiato,formaggio,75 g,formaggio,formaggio,formaggio,264,,,,,
18050,75 g di prosciutto cotto,75 g di prosciutto cotto,prosciutto cotto,75 g,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
18051,25 g di formaggio grattugiato,25 g di formaggio grattugiato,formaggio,25 g,formaggio,formaggio,formaggio,264,,,,,
18052,3 peperoni verdi,3 peperoni verdi,peperoni verdi,3,peperoni verdi,peperoni verdi,peperoni,612,,,,,
18053,300 g di cavolo cappuccio o verza,300 g di cavolo cappuccio o verza,cavolo cappuccio,300 g,cavolo cappuccio,cavolo cappuccio,cavolo cappuccio,44,,,,,
18054,1 kg di pannocchie,1 kg di pannocchie,pannocchie,1 kg,pannocchie,pannocchie,pannocchie,7,,,,,
18055,500 g di carote baby,500 g di carote baby,carote baby,500 g,carote baby,carote baby,carote,1077,,,,,
18056,buccia grattugiata di 1 limone o di 1 arancia,buccia grattugiata di 1 limone o di 1 arancia,limone,1,limone,limone,limone,1394,,,,,
18057,vanillina.,vanillina.,vanillina,,vanillina,vanillina,vanillina,53,,,,,
18058,1/2 dl d’acqua,1/2 dl d'acqua,d' acqua,1/2 dl,acqua,acqua,acqua,1976,,,,,
18059,gocce di aceto,gocce di aceto,gocce di aceto,,aceto,aceto,aceto,528,,,,,
18060,150 g di riso Venere,150 g di riso venere,riso venere,150 g,riso venere,riso venere,riso venere,17,,,,,
18061,150 g di riso parboiled,150 g di riso parboiled,riso parboiled,150 g,riso parboiled,riso parboiled,riso,289,,,,,
18062,200 g di germogli di soia,200 g di germogli di soia,germogli di soia,200 g,germogli di soia,germogli di soia,germogli di soia,23,,,,,
18063,1 cetriolo fresco,1 cetriolo fresco,cetriolo,1,cetriolo,cetriolo,cetrioli,121,,,,,
18064,500 g di mele verdi,500 g di mele verdi,mele verdi,500 g,mele verdi,mele verdi,mele granny smith,43,,,,,
18065,1 kg di seppioline pulite e tagliate a pezzi,1 kg di seppioline pulite e tagliate,seppioline,1 kg,seppioline,seppioline,seppioline,17,,,,,
18066,3 uova.,3 uova.,uova,3,uova,uova,uova,3872,,,,,
18067,200 g di formaggio Castelmagno senza crosta,200 g di formaggio castelmagno,formaggio castelmagno,200 g,formaggio castelmagno,formaggio,castelmagno,7,,,,,
18068,15 g di pasta di tartufo,15 g di pasta di tartufo,pasta di tartufo,15 g,pasta di tartufo,pasta,pasta di tartufo,4,,,,,
18069,1/2 tartufo bianco,1/2 tartufo bianco,tartufo bianco,1/2,tartufo bianco,tartufo bianco,tartufo bianco,13,,,,,
18070,300 g di fagioli secchi,300 g di fagioli secchi,fagioli secchi,300 g,fagioli secchi,fagioli secchi,fagioli secchi,9,,,,,
18071,2 cavoli cappucci piccoli,2 cavoli cappucci piccoli,cavoli cappucci,2,cavoli cappucci,cavolini di bruxelles,cavolo cappuccio,44,,,,,
18072,60 g di farina gialla,60 g di farina gialla,farina gialla,60 g,farina gialla,farina gialla,farina gialla,68,,,,,
18073,bianca,bianca,bianca,,,,,,,,,,
18074,2 cotenne di maiale (facoltative),2 cotenne di maiale,cotenne di maiale,2,cotenne di maiale,cotenne di maiale,cotenna di suino,25,,,,,
18075,600 g di farina di castagne freschissima (si conserva in frigorifero),600 g di farina di castagne freschissima,farina di castagne,600 g,farina di castagne,farina di castagne,farina di castagne,38,,,,,
18076,9 dl circa di acqua,9 dl circa di acqua,acqua,9 dl,acqua,acqua,acqua,1976,,,,,
18077,6 cucchiai circa d’olio,6 cucchiai circa d'olio,d' olio,6 cucchiai,olio,olio,olio,2191,,,,,
18078,600 g di pane raffermo,600 g di pane raffermo,pane raffermo,600 g,pane raffermo,pane raffermo,pane raffermo,106,,,,,
18079,"4 dl circa di latte freddo (il quantitativo dipende dal tipo di pane,  che si adopera)",4 dl circa di latte freddo,latte,4 dl,latte,latte,latte,2242,,,,,
18080,50 g di pancetta tritata,50 g di pancetta tritata,pancetta,50 g,pancetta,pancetta,pancetta,245,,,,,
18081,50 g di pancetta affumicata tritata,50 g di pancetta affumicata tritata,pancetta affumicata,50 g,pancetta affumicata,pancetta affumicata,pancetta affumicata,155,,,,,
18082,1 dado vegetale,1 dado vegetale,dado vegetale,1,dado vegetale,dado vegetale,dado,18,,,,,
18083,100 g di cioccolato fondente grattugiato,100 g di cioccolato fondente grattugiato,cioccolato fondente,100 g,cioccolato fondente,cioccolato fondente,cioccolato fondente,833,,,,,
18084,5 cucchiai di panna,5 cucchiai di panna,panna,5 cucchiai,panna,panna,panna fresca,1860,,,,,
18085,1 cucchiaio di liquore a scelta,1 cucchiaio di liquore,liquore,1 cucchiaio,liquore,liquore,liquore,38,,,,,
18086,1 kg di piselli freschi o 300 g di piselli surgelati,1 kg di piselli freschi o 300 g di piselli surgelati,piselli piselli surgelati,1 kg,piselli,piselli,piselli,302,,,,,
18087,2 lattughe piccole,2 lattughe piccole,lattughe,2,lattughe,lattughino,lattughino,7,,,,,
18088,3 cipolline,3 cipolline,cipolline,3,cipolline,cipolline,cipolle borettane,103,,,,,
18089,"1 mazzetto di erbe odorose (tra prezzemolo,  finocchio,  salvia)",1 mazzetto di erbe odorose,erbe odorose,1 mazzetto,erbe odorose,erbe,erbe aromatiche,70,,,,,
18090,6 peperoni gialli e verdi,6 peperoni gialli e verdi,peperoni gialli,6,peperoni gialli,peperoni gialli,peperoni,612,,,,,
18091,2 cucchiai di capperi sott’olio,2 cucchiai di capperi sott'olio,capperi sott' olio,2 cucchiai,capperi sott'olio,capperi sott'olio,capperi,366,,,,,
18092,2 cucchiai rasi di pangrattato grosso,2 cucchiai rasi di pangrattato grosso,pangrattato,2 cucchiai,pangrattato,pangrattato,pangrattato,834,,,,,
18093,300 g di mezze penne,300 g di mezze penne,mezze penne,300 g,mezze penne,penne rigate,penne rigate,16,,,,,
18094,4 pomodorini di Pachino,4 pomodorini di pachino,pomodorini di pachino,4,pomodorini di pachino,pomodorini,pomodori di pachino,35,,,,,
18095,3 filetti d’acciuga,3 filetti d'acciuga,filetti d' acciuga,3,filetti di acciuga,filetti di acciuga,acciughe,403,,,,,
18096,2 kg di coda di manzo,2 kg di coda di manzo,coda di manzo,2 kg,coda di manzo,coda di manzo,coda di manzo,8,,,,,
18097,1 fetta di lardo stagionato,1 fetta di lardo stagionato,lardo stagionato,1 fetta,lardo stagionato,lardo,lardo,114,,,,,
18098,cicoria,cicoria,cicoria,,cicoria,cicoria,cicoria,37,,,,,
18099,8 crostoni di pane,8 crostoni di pane,crostoni di pane,8,crostoni di pane,crostoni di pane,crostoni di pane,4,,,,,
18100,400 g di formaggio Montasio stagionato almeno 10 mesi,400 g di formaggio montasio stagionato almeno 10 mesi,formaggio montasio stagionato,400 g,formaggio montasio stagionato,formaggio,montasio,25,,,,,
18101,50 g di farina di mais,50 g di farina di mais,farina di mais,50 g,farina di mais,farina di mais,farina di mais,144,,,,,
18102,250 g di radicchio lungo di Treviso,250 g di radicchio lungo di treviso,radicchio di treviso,250 g,radicchio di treviso,radicchio di treviso,radicchio di treviso,24,,,,,
18103,macinato d'anatra,macinato d'anatra,macinato d' anatra,,macinato d'anatra,macinato di maiale,macinato,13,,,,,
18104,1 lepre,1 lepre,lepre,1,lepre,lepre,carne di lepre,9,,,,,
18105,2 l di vino rosato,2 l di vino rosato,vino rosato,2 l,vino rosato,vino rosato,vino rosato,9,,,,,
18106,1/2 bicchierino di Brandy,1/2 bicchierino di brandy,brandy,1/2 bicchierino,brandy,brandy,brandy,122,,,,,
18107,carciofi oblunghi,carciofi oblunghi,carciofi oblunghi,,carciofi oblunghi,carciofi,carciofi,222,,,,,
18108,scarti di carciofi,scarti di carciofi,carciofi,,carciofi,carciofi,carciofi,222,,,,,
18109,1 cucchiaino raso di maizena,1 cucchiaino raso di maizena,maizena,1 cucchiaino,maizena,maizena,maizena,68,,,,,
18110,12 fette sottili di pane rustico,12 fette sottili di pane rustico,pane rustico,12 fette,pane rustico,pane rustico,pane,363,,,,,
18111,ossa di gamba di manzo,ossa di gamba di manzo,ossa di di manzo,gamba,ossa di manzo,ossa di manzo,ossa di manzo,7,,,,,
18112,1 pezzo di manzo,1 pezzo di manzo,manzo,1 pezzo,manzo,manzo,carne di bovino,492,,,,,
18113,1 ciuffo di prezzemolo legato,1 ciuffo di prezzemolo legato,prezzemolo legato,1 ciuffo,prezzemolo,prezzemolo,prezzemolo,1668,,,,,
18114,300 g di ruote,300 g di ruote,ruote,300 g,ruote,ruote,ruote,8,,,,,
18115,150 g di spinaci novelli,150 g di spinaci novelli,spinaci novelli,150 g,spinaci novelli,spinaci novelli,spinaci,245,,,,,
18116,3 fettine di pancetta,3 fettine di pancetta,pancetta,3 fettine,pancetta,pancetta,pancetta,245,,,,,
18117,4 triglie medie,4 triglie medie,triglie,4,triglie,triglie,triglie,31,,,,,
18118,4 patate novelle medie,4 patate novelle medie,patate,4,patate,patate,patate,1000,,,,,
18119,1 l di olio di girasole,1 l di olio di girasole,olio di girasole,1 l,olio di girasole,olio di girasole,olio di girasole,132,,,,,
18120,farina di grano tenero,farina di grano tenero,farina di grano,,farina di grano,farina di grano,farina,2121,,,,,
18121,1/2 kg di farina di castagne,1/2 kg di farina di castagne,farina di castagne,1/2 kg,farina di castagne,farina di castagne,farina di castagne,38,,,,,
18122,1 cucchiaio di zucchero di canna grezzo,1 cucchiaio di zucchero di canna grezzo,zucchero di canna grezzo,1 cucchiaio,zucchero di canna grezzo,zucchero di canna grezzo,zucchero di canna,547,,,,,
18123,uvetta di corinto,uvetta di corinto,uvetta di corinto,,uvetta di corinto,uvetta,uvetta,220,,,,,
18124,liquore dolce aromatizzato (facoltativo),liquore dolce aromatizzato,liquore dolce aromatizzato,,liquore dolce aromatizzato,liquore,liquore,38,,,,,
18125,170 g di cioccolato tritato,170 g di cioccolato tritato,cioccolato,170 g,cioccolato,cioccolato,cioccolato,105,,,,,
18126,800 g di fave fresche sgranate,800 g di fave fresche sgranate,fave sgranate,800 g,fave sgranate,fave sgranate,fave,103,,,,,
18127,1 cucchiaino di coriandolo in grani,1 cucchiaino di coriandolo,coriandolo,1 cucchiaino,coriandolo,coriandolo,coriandolo,67,,,,,
18128,1 kg e 200 g di costicine di maiale,1 kg e 200 g di costicine di maiale,costicine di maiale,1 kg e 200 g,costicine di maiale,costicine di maiale,carne di suino,202,,,,,
18129,2 dl e 1/2 di latte o brodo,2 dl e 1/2 di latte o brodo,latte,2 dl e 1/2,latte,latte,latte,2242,,,,,
18130,1 pugno di farina gialla,1 pugno di farina gialla,di farina gialla,1 pugno,farina gialla,farina gialla,farina gialla,68,,,,,
18131,1 vasetto di yogurt bianco,1 vasetto di yogurt bianco,yogurt bianco,1 vasetto,yogurt bianco,yogurt bianco,yogurt bianco,121,,,,,
18132,85 g di zucchero semolato,85 g di zucchero semolato,zucchero semolato,85 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
18133,un limone non trattato in superficie,un limone,limone,un,limone,limone,limone,1394,,,,,
18134,16 fichi freschi,16 fichi freschi,fichi,16,fichi,fichi,fichi,82,,,,,
18135,scorza grattugiata di limone,scorza grattugiata di limone,limone,,limone,limone,limone,1394,,,,,
18136,"acqua qb (o latte di riso,  di soia,  di mandorle)",acqua qb,acqua,qb,acqua,acqua,acqua,1976,,,,,
18137,10 g di amido di riso,10 g di amido di riso,amido di riso,10 g,amido di riso,amido di riso,amido di riso,18,,,,,
18138,25 g di tuorlo,25 g di tuorlo,tuorlo,25 g,tuorlo,tuorlo,tuorli,1385,,,,,
18139,300 g di burro di cacao,300 g di burro di cacao,burro di cacao,300 g,burro di cacao,burro di cacao,burro di cacao,9,,,,,
18140,50 g di succo di limone,50 g di succo di limone,succo di limone,50 g,succo di limone,succo di limone,succo di limone,599,,,,,
18141,235 g di panna montata,235 g di panna montata,panna,235 g,panna,panna,panna fresca,1860,,,,,
18142,frutti di bosco secchi a piacere,frutti di bosco secchi,frutti di bosco secchi,,frutti di bosco secchi,frutti della passione,frutti di bosco,72,,,,,
18143,1 cucchiaio scarso di acqua,1 cucchiaio scarso di acqua,acqua,1 cucchiaio,acqua,acqua,acqua,1976,,,,,
18144,150 g di Nutella,150 g di nutella,nutella,150 g,nutella,nutella,nutella,136,,,,,
18145,un pandoro tradizionale da 1 kg,un pandoro tradizionale da 1 kg,pandoro,un,pandoro,pandoro,pandoro,22,,,,,
18146,2 confezioni di Chef crema pasticcera,2 confezioni di chef crema pasticcera,confezioni di crema pasticcera,2 chef,crema pasticcera,crema pasticcera,crema pasticcera,65,,,,,
18147,400 g di Chef panna fresca,400 g di chef panna fresca,chef panna fresca,400 g,panna,panna,panna fresca,1860,,,,,
18148,Chef panna da montare,chef panna da montare,panna,,panna,panna,panna fresca,1860,,,,,
18149,95 g di zucchero semolato extrafino,95 g di zucchero semolato extrafino,zucchero semolato extrafino,95 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
18150,65 ml di olio di semi,65 ml di olio di semi,olio di semi,65 ml,olio di semi,olio di semi,olio di semi,323,,,,,
18151,la scorza grattugiata di ½ limone bio,la scorza grattugiata di 1/2 limone bio,limone,1/2,limone,limone,limone,1394,,,,,
18152,85 g di burro morbido,85 g di burro morbido,burro,85 g,burro,burro,burro,4606,,,,,
18153,90 g di farina di mandorle,90 g di farina di mandorle,farina di mandorle,90 g,farina di mandorle,farina di mandorle,farina di mandorle,177,,,,,
18154,2 cucchiaini di farina di tipo 2,2 cucchiaini di farina di tipo 2,farina di tipo 2,2 cucchiaini,farina di tipo 2,farina,farina,2121,,,,,
18155,1 pera kaiser,1 pera kaiser,pera kaiser,1,pera kaiser,pera,pere,111,,,,,
18156,20 g di mirtilli rossi,20 g di mirtilli rossi,mirtilli rossi,20 g,mirtilli rossi,mirtilli rossi,mirtilli,144,,,,,
18157,110 g di farina manitoba,110 g di farina manitoba,farina manitoba,110 g,farina manitoba,farina manitoba,farina manitoba,233,,,,,
18158,130 ml di latte tiepido,130 ml di latte tiepido,latte,130 ml,latte,latte,latte,2242,,,,,
18159,5 g di lievito secco,5 g di lievito secco,lievito secco,5 g,lievito secco,lievito secco,lievito secco,8,,,,,
18160,la scorza grattugiata di un'arancia bio,la scorza grattugiata di un'arancia bio,arancia,un',arancia,arancia,arance,358,,,,,
18161,70 gr di nocciole sgusciate e spellate,70 gr di nocciole sgusciate e spellate,nocciole,70 gr,nocciole,nocciole,nocciole,164,,,,,
18162,30 gr di zucchero a velo,30 gr di zucchero,zucchero,30 gr,zucchero,zucchero,zucchero,4949,,,,,
18163,5 gr di cacao amaro Emilia,5 gr di cacao amaro emilia,cacao amaro,5 gr,cacao amaro,cacao amaro,cacao amaro,524,,,,,
18164,20 ml di olio di semi leggero,20 ml di olio di semi leggero,olio di semi,20 ml,olio di semi,olio di semi,olio di semi,323,,,,,
18165,160 gr di cioccolato fondente extra Emilia,160 gr di cioccolato fondente extra emilia,cioccolato fondente extra,160 gr,cioccolato fondente extra,cioccolato fondente extra,cioccolato fondente,833,,,,,
18166,2 cucchiai di olio extravergine d’oliva,2 cucchiai di olio extravergine d'oliva,olio extravergine d' oliva,2 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,olio extravergine d'oliva,4337,,,,,
18167,100 g di speck a listarelle,100 g di speck,speck,100 g,speck,speck,speck,139,,,,,
18168,250 g di formaggio tenero a breve stagionatura,250 g di formaggio tenero,formaggio tenero,250 g,formaggio tenero,formaggio,formaggio,264,,,,,
18169,600 g di porri,600 g di porri,porri,600 g,porri,porri,porri,299,,,,,
18170,1 kg di pesche gialle,1 kg di pesche gialle,pesche gialle,1 kg,pesche gialle,pesche gialle,pesche,106,,,,,
18171,4 tranci di rana pescatrice,4 tranci di rana pescatrice,rana,4 tranci,rana,rana pescatrice,rana pescatrice,17,,,,,
18172,450 g di pomodorini ciliegia,450 g di pomodorini ciliegia,pomodorini ciliegia,450 g,pomodorini ciliegia,pomodorini ciliegia,pomodorini ciliegino,288,,,,,
18173,2 cucchiai di olive di Gaeta,2 cucchiai di olive di gaeta,olive di gaeta,2 cucchiai,olive di gaeta,olive di gaeta,olive di gaeta,13,,,,,
18174,400 g di busiate,400 g di busiate,busiate,400 g,busiate,busiate,busiate,2,,,,,
18175,230 g di mozzarelline,230 g di mozzarelline,mozzarelline,230 g,mozzarelline,mozzarelline,mozzarella,264,,,,,
18176,1 kg di giuncata,1 kg di giuncata,giuncata,1 kg,giuncata,giuncata,formaggio fresco,38,,,,,
18177,125 ml di panna acida densa,125 ml di panna acida densa,panna acida densa,125 ml,panna acida,panna acida,panna acida,57,,,,,
18178,120 g di mandorle sbucciate,120 g di mandorle sbucciate,mandorle,120 g,mandorle,mandorle,mandorle,415,,,,,
18179,1/2 bicchiere circa di rum,1/2 bicchiere circa di rum,rum,1/2 bicchiere,rum,rum,rum,218,,,,,
18180,180 g di farina 0,180 g di farina 0,farina 0,180 g,farina 0,farina 0,farina 0,181,,,,,
18181,1/2 cipolla dorata,1/2 cipolla dorata,cipolla dorata,1/2,cipolla dorata,cipolla dorata,cipolla dorata,142,,,,,
18182,1 melanzana oblunga,1 melanzana oblunga,melanzana oblunga,1,melanzana oblunga,melanzana,melanzane,295,,,,,
18183,1 manciata di pinoli,1 manciata di pinoli,pinoli,1 manciata,pinoli,pinoli,pinoli,392,,,,,
18184,2 pomodori san marzano,2 pomodori san marzano,pomodori san marzano,2,pomodori san marzano,pomodori san marzano,pomodori san marzano,31,,,,,
18185,650 ml di brodo vegetale,650 ml di brodo vegetale,brodo vegetale,650 ml,brodo vegetale,brodo vegetale,brodo vegetale,571,,,,,
18186,40 g di burro + una noce,40 g di burro,burro,40 g,burro,burro,burro,4606,,,,,
18187,150 g di tagliatelle di grano duro,150 g di tagliatelle di grano duro,tagliatelle di grano duro,150 g,tagliatelle di grano duro,tagliatelle,tagliatelle,37,,,,,
18188,1 bottiglia di Barbera,1 bottiglia di barbera,barbera,1 bottiglia,barbera,barbera,barbera,3,,,,,
18189,3 bacche di ginepro,3 bacche di ginepro,bacche di ginepro,3,bacche di ginepro,bacche di ginepro,ginepro,89,,,,,
18190,1/2 bicchiere di Brandy,1/2 bicchiere di brandy,brandy,1/2 bicchiere,brandy,brandy,brandy,122,,,,,
18191,2 o 3 tuorli,2 o 3 tuorli,tuorli,2 o 3,tuorli,tuorli,tuorli,1385,,,,,
18192,120 g di avena decorticata,120 g di avena decorticata,avena decorticata,120 g,avena decorticata,avena,avena,5,,,,,
18193,1 mazzetto di ravanelli con le foglie,1 mazzetto di ravanelli con le foglie,ravanelli,1 mazzetto,ravanelli,ravanelli,ravanelli,52,,,,,
18194,1 kg di coppa di maiale,1 kg di coppa di maiale,coppa di maiale,1 kg,coppa di maiale,coppa di maiale,coppa,4,,,,,
18195,2 dischi di Pan di Spagna da 20 cm di diametro ciascuno,2 dischi di pan di spagna da 20 cm di diametro ciascuno,dischi pan di spagna,2,pan di spagna,pan di spagna,pan di spagna,30,,,,,
18196,150 g di formaggio fresco,150 g di formaggio fresco,formaggio fresco,150 g,formaggio fresco,formaggio fresco,formaggio fresco,38,,,,,
18197,quadretti di cioccolato fondente,quadretti di cioccolato fondente,cioccolato fondente,,cioccolato fondente,cioccolato fondente,cioccolato fondente,833,,,,,
18198,400 g di mele sbucciate e tagliate a cubetti,400 g di mele sbucciate e tagliate,mele,400 g,mele,mele,mele,204,,,,,
18199,250 g di pere sbucciate e tagliate a cubetti,250 g di pere sbucciate e tagliate,pere,250 g,pere,pere,pere,111,,,,,
18200,200 g di cipolle a listarelle,200 g di cipolle,cipolle,200 g,cipolle,cipolle,cipolla,1415,,,,,
18201,230 g di zucchero di canna bruno,230 g di zucchero di canna bruno,zucchero di canna,230 g,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
18202,400 ml di aceto di mele,400 ml di aceto di mele,aceto di mele,400 ml,aceto di mele,aceto di mele,aceto di mele,91,,,,,
18203,300 g di fragole già mondate,300 g di fragole,fragole,300 g,fragole,fragole,fragole,249,,,,,
